                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4822,                 5.1911,                0.37476,                 2.9165,                 1.6704,                0.75384,                0.95492,                0.90075,                0.62288,                0.35074,                0.43979,                 0.4042,                0.13329,                 1.0072,                 4.5148,                0.12431,                 6.3028,                 1.4327,             0.00028886,             0.00028886,             0.00028886
                      2,                0.96083,                 4.4025,                0.30084,                 1.7393,                 1.2208,                0.91668,                0.99671,                0.98835,                0.72335,                0.50713,                   0.55,                0.50877,                0.14706,                0.96398,                 4.5197,                0.11374,                  10.96,                 1.4153,             0.00044309,             0.00044309,             0.00044309
                      3,                0.89793,                 4.2219,                0.29456,                 1.4287,                 1.1769,                0.94971,                0.96429,                 0.9845,                0.74035,                0.52038,                   0.55,                0.52827,                0.19008,                 0.7124,                 4.2541,                0.11968,                 3.8987,                 1.1508,             0.00044884,             0.00044884,             0.00044884
                      4,                0.86623,                  4.265,                0.28227,                 1.3656,                 1.1814,                0.96175,                0.96429,                0.99062,                0.76432,                0.48834,                    0.5,                0.51716,                0.20277,                0.78036,                 4.3208,                0.10167,                 3.2471,                 1.1738,             0.00028608,             0.00028608,             0.00028608
