                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.50887,                 2.5968,                0.19017,                0.43366,                0.98914,                0.95825,                0.96928,                0.98364,                0.82236,                0.64592,                   0.65,                 0.6477,                0.28121,                 0.5985,                 3.9876,                0.02065,                 2.4426,                 1.0932,              0.0001431,              0.0001431,              0.0001431
                     91,                0.36793,                 2.2447,                0.04897,                 0.3308,                0.92156,                0.93001,                      1,                0.98591,                0.83366,                0.64025,                   0.65,                0.64415,                0.28485,                0.61165,                   3.96,                 0.0143,                 2.0356,                 1.0556,              0.0001321,              0.0001321,              0.0001321
                     92,                 0.3537,                 2.2158,                0.04337,                0.30426,                 0.8941,                0.94086,                 0.9966,                0.98591,                0.82728,                0.62119,                   0.65,                0.64307,                 0.2853,                0.60769,                 3.9245,                0.01105,                 2.0574,                 1.0837,              0.0001211,              0.0001211,              0.0001211
                     93,                0.36958,                 2.1817,                 0.0455,                 0.2981,                0.89859,                0.94111,                0.99619,                0.98591,                0.83025,                0.62275,                   0.65,                0.64415,                0.29241,                0.55755,                 3.9989,                0.01524,                 1.9663,                 1.0592,              0.0001101,              0.0001101,              0.0001101
                     94,                0.37136,                 2.2412,                0.04919,                0.30995,                 0.9202,                0.94753,                0.99707,                0.98591,                0.82906,                  0.638,                   0.65,                 0.6457,                0.30032,                0.58759,                 3.8224,                0.01297,                 2.0341,                 1.0502,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.3499,                 2.1761,                0.04718,                0.28794,                0.89522,                0.94483,                0.99537,                0.98591,                0.83787,                0.62275,                   0.65,                 0.6462,                0.29703,                0.59139,                 3.8765,                0.01315,                 1.8052,                 1.0259,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.35306,                 2.1623,                0.04134,                0.28976,                0.90831,                0.94429,                0.99389,                0.98591,                 0.8363,                0.62268,                   0.65,                0.64525,                0.29767,                0.63562,                 3.8387,                0.01324,                 2.0338,                  1.047,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.34752,                 2.1436,                0.03637,                0.28922,                0.89666,                0.94577,                 0.9947,                0.98591,                0.83723,                0.63768,                   0.65,                 0.6457,                0.29854,                0.65677,                 3.7951,                0.01387,                 2.3014,                 1.0643,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.32763,                 2.1131,                 0.0366,                0.27194,                0.87338,                 0.9592,                0.98785,                0.98591,                0.82925,                0.63483,                   0.65,                 0.6457,                0.30042,                0.61284,                 3.7886,                0.01465,                 2.1795,                  1.045,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.33002,                 2.1492,                0.04634,                0.27947,                0.90387,                0.95766,                0.98654,                0.98591,                0.83655,                0.62505,                   0.65,                 0.6462,                0.29915,                0.59022,                 3.8422,                0.01281,                 2.1276,                 1.0317,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.32591,                 2.1095,                0.04242,                0.27462,                0.88037,                0.95343,                0.99803,                0.99045,                0.83991,                  0.624,                   0.65,                0.65025,                0.30864,                0.60406,                 3.8264,                0.01204,                 2.1159,                 1.0377,             3.3108e-05,             3.3108e-05,             3.3108e-05
