                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.78541,                 3.7065,                0.24719,                0.73192,                 1.1125,                0.97411,                0.95351,                 0.9845,                0.79691,                0.47963,                    0.5,                 0.4975,                0.21272,                 0.7516,                 3.9586,                0.02975,                 1.9245,                 1.1691,             0.00089102,             0.00089102,             0.00089102
                     23,                0.79436,                 3.6414,                0.24156,                0.75481,                 1.1139,                0.94467,                0.97199,                0.98818,                0.80896,                0.45558,                    0.5,                0.50088,                0.18337,                0.73289,                 4.2618,                0.05467,                 2.5919,                 1.2138,             0.00088002,             0.00088002,             0.00088002
                     24,                0.75446,                 3.8148,                0.24462,                0.74905,                 1.0905,                0.94051,                0.95995,                0.98495,                 0.7596,                0.61316,                   0.65,                 0.6086,                0.20586,                0.86113,                 4.3799,                0.03965,                 2.2492,                 1.2581,             0.00086902,             0.00086902,             0.00086902
                     25,                0.76827,                 3.7044,                0.24406,                0.73155,                 1.0986,                 0.9628,                0.96429,                0.98608,                0.80001,                0.51801,                   0.55,                0.54524,                0.20915,                0.58647,                 4.4481,                0.03062,                 1.6767,                 1.1009,             0.00085803,             0.00085803,             0.00085803
                     26,                0.72927,                 3.5696,                0.23403,                0.66491,                 1.0774,                0.94806,                0.98638,                0.99273,                0.78918,                0.51123,                   0.55,                0.55834,                0.23887,                0.63717,                 4.3278,                0.04792,                 2.4749,                 1.0891,             0.00084703,             0.00084703,             0.00084703
                     27,                0.72192,                  3.642,                 0.2419,                0.69099,                 1.0782,                0.94128,                0.96727,                0.99273,                0.78396,                 0.6109,                   0.65,                0.59297,                0.23481,                0.72819,                 3.9671,                0.03675,                 2.1384,                 1.1292,             0.00083603,             0.00083603,             0.00083603
                     28,                0.73631,                 3.6694,                0.24101,                0.68208,                 1.0809,                0.95263,                0.96148,                0.99273,                0.77812,                0.52404,                0.53062,                0.51132,                0.23047,                0.70628,                 4.0284,                0.05154,                 2.0794,                 1.1068,             0.00082503,             0.00082503,             0.00082503
                     29,                0.72281,                  3.649,                0.24451,                0.68758,                 1.0997,                0.95792,                0.91278,                0.98835,                0.78296,                0.47924,                  0.475,                0.49523,                0.20669,                0.66024,                 4.4341,                0.05344,                 2.0247,                 1.1252,             0.00081403,             0.00081403,             0.00081403
                     30,                0.72475,                 3.6032,                0.23596,                0.67176,                  1.072,                0.94662,                0.94708,                0.98268,                0.79084,                0.48576,                0.54946,                0.51304,                0.24725,                0.69218,                 4.1251,                0.06009,                 2.2131,                  1.104,             0.00080303,             0.00080303,             0.00080303
                     31,                0.72008,                 3.5945,                0.23131,                0.66224,                 1.0771,                0.92804,                0.99616,                0.98818,                0.81151,                  0.478,                0.51011,                0.50712,                0.24075,                0.57259,                 4.4123,                0.05387,                 2.0652,                 1.0397,             0.00079203,             0.00079203,             0.00079203
                     32,                0.70715,                 3.7408,                0.22753,                0.63138,                 1.0682,                0.93791,                0.97816,                0.98818,                0.75709,                 0.4933,                   0.55,                0.55338,                0.21216,                0.65644,                 4.4027,                0.04832,                 1.9517,                 1.1106,             0.00078103,             0.00078103,             0.00078103
                     33,                0.70087,                 3.5296,                0.23668,                0.62963,                 1.0761,                0.94959,                0.99699,                0.99045,                0.80402,                 0.4598,                    0.5,                0.50175,                0.19827,                0.61542,                 4.2789,                0.03955,                 2.8921,                 1.1204,             0.00077003,             0.00077003,             0.00077003
                     34,                0.72201,                 3.4607,                0.23989,                 0.6434,                 1.0688,                0.93946,                0.99408,                0.99273,                0.79042,                0.47292,                    0.5,                0.49523,                0.21424,                0.64425,                 4.2365,                0.04355,                 2.5572,                 1.1113,             0.00075904,             0.00075904,             0.00075904
